epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1482.7,0.72743,1.46302,0.44908,0.61796,0.55192,0.56695,0.28126,0.34191,0.90315,0.22561,0.00999727,0.00333242,0.00999727,0.00333242,0.00999727,0.00333242,0.00999727,0.00333242
2,2634.63,0.61402,0.7759,0.32863,0.59747,0.49129,0.52802,0.26202,0.34626,0.71791,0.20515,0.0197993,0.00659976,0.0197993,0.00659976,0.0197993,0.00659976,0.0197993,0.00659976
3,3708.2,0.71469,0.73086,0.36006,0.59319,0.48423,0.51934,0.25593,0.38201,0.95365,0.22824,0.0294033,0.00980111,0.0294033,0.00980111,0.0294033,0.00980111,0.0294033,0.00980111
4,4766.53,0.76424,0.731,0.38492,0.62736,0.50973,0.54917,0.26931,0.3604,0.76907,0.21763,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,5825.13,0.73804,0.71964,0.36099,0.61473,0.55807,0.57918,0.28262,0.35589,0.79495,0.21764,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,6877.34,0.73817,0.68958,0.3581,0.64405,0.51543,0.56612,0.2825,0.36463,0.66875,0.2183,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,7941.23,0.71133,0.69598,0.34171,0.64197,0.53709,0.59288,0.29359,0.35151,0.66517,0.20934,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,8999.15,0.7071,0.67577,0.34461,0.6905,0.587,0.63455,0.32602,0.34253,0.61685,0.21653,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,10060.1,0.71136,0.65917,0.34228,0.6779,0.56307,0.62888,0.31347,0.34465,0.73006,0.20333,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,11126.2,0.69062,0.6674,0.33384,0.68205,0.59003,0.65325,0.34093,0.33245,0.61071,0.19714,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,12187.3,0.68836,0.65586,0.32862,0.69062,0.61389,0.66694,0.34704,0.33337,0.64034,0.21372,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
