epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,186.271,1.62361,2.63537,1.45857,0.50516,0.41715,0.42254,0.19153,1.51217,6.25855,1.25688,0.00998907,0.00332969,0.00998907,0.00332969,0.00998907,0.00332969,0.00998907,0.00332969
2,336.983,1.68803,1.98423,1.45139,0.4628,0.42352,0.39316,0.1724,1.63296,5.37802,1.3505,0.0195933,0.0065311,0.0195933,0.0065311,0.0195933,0.0065311,0.0195933,0.0065311
3,474.186,1.78085,1.9223,1.5177,0.41614,0.39224,0.34985,0.14846,1.73616,9.3193,1.44394,0.0288015,0.0096005,0.0288015,0.0096005,0.0288015,0.0096005,0.0288015,0.0096005
4,607.93,1.80596,1.90564,1.54575,0.50092,0.46582,0.43993,0.19651,1.58195,3.58001,1.34356,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,739.204,1.73617,1.7712,1.5065,0.55328,0.4882,0.49788,0.22481,1.53912,4.14995,1.30365,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,871.107,1.68494,1.67454,1.47069,0.56048,0.5109,0.50911,0.23842,1.52356,3.86198,1.25302,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,1005.01,1.65573,1.61371,1.44994,0.53658,0.47946,0.48391,0.23123,1.52377,3.95242,1.33275,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,1135.05,1.62955,1.56904,1.43773,0.6201,0.53459,0.57712,0.28893,1.40389,3.07793,1.21949,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,1266.88,1.59675,1.50406,1.40426,0.63969,0.55836,0.59751,0.30402,1.38666,2.80784,1.19845,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,1400.03,1.58186,1.46839,1.39269,0.6369,0.56595,0.60502,0.30725,1.39971,2.24289,1.1895,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
