epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,206.636,1.67847,2.45794,1.55799,0.44658,0.42549,0.40157,0.17627,1.61293,8.07121,1.45887,0.000555059,0.000555059,0.000555059
2,369.079,1.73595,1.92832,1.58727,0.48895,0.45834,0.45159,0.2002,1.63026,5.07606,1.43723,0.00107407,0.00107407,0.00107407
3,531.736,1.71928,1.82483,1.56819,0.5544,0.49616,0.49818,0.2348,1.50202,5.14658,1.38068,0.00155641,0.00155641,0.00155641
4,687.898,1.6818,1.75271,1.54435,0.57874,0.49734,0.52546,0.25622,1.48922,2.04806,1.35391,0.00150197,0.00150197,0.00150197
5,845.874,1.63626,1.6867,1.5143,0.60051,0.52815,0.55895,0.27621,1.43675,2.56554,1.31344,0.00144696,0.00144696,0.00144696
6,1004.58,1.60054,1.6097,1.4873,0.5992,0.53776,0.56241,0.27369,1.42503,4.54199,1.29827,0.00139195,0.00139195,0.00139195
7,1167.46,1.58572,1.57591,1.46969,0.61808,0.55857,0.60134,0.30481,1.39332,3.44273,1.27264,0.00133693,0.00133693,0.00133693
8,1331.45,1.57478,1.53329,1.45906,0.63253,0.54429,0.59164,0.30078,1.40681,2.32329,1.27457,0.00128192,0.00128192,0.00128192
9,1489.65,1.55766,1.4901,1.4364,0.66716,0.57138,0.62328,0.32517,1.35875,2.9641,1.24177,0.00122691,0.00122691,0.00122691
10,1646.27,1.52856,1.4496,1.42548,0.62995,0.56721,0.61603,0.32643,1.36568,2.06936,1.24197,0.0011719,0.0011719,0.0011719
11,1809.65,1.50629,1.41236,1.41345,0.64915,0.5951,0.64823,0.34277,1.34675,2.72424,1.21797,0.00111689,0.00111689,0.00111689
12,1969.98,1.50138,1.3962,1.40614,0.6518,0.61308,0.66067,0.34989,1.34697,2.31307,1.22615,0.00106188,0.00106188,0.00106188
13,2129.11,1.48769,1.36765,1.40003,0.68337,0.60765,0.66829,0.36122,1.32265,1.81387,1.22376,0.00100687,0.00100687,0.00100687
14,2291.52,1.48035,1.3466,1.38924,0.67597,0.62377,0.6784,0.36466,1.30535,1.95037,1.20176,0.000951857,0.000951857,0.000951857
15,2448.43,1.46652,1.31641,1.37908,0.69229,0.63284,0.6888,0.37206,1.3068,1.59643,1.2011,0.000896846,0.000896846,0.000896846
16,2607.53,1.45112,1.29567,1.37284,0.69226,0.6442,0.70222,0.38326,1.29008,1.47738,1.1854,0.000841835,0.000841835,0.000841835
17,2770.73,1.43271,1.27197,1.36377,0.70645,0.62523,0.7011,0.38298,1.30604,1.79743,1.19114,0.000786824,0.000786824,0.000786824
18,2930.05,1.43032,1.26109,1.35273,0.73611,0.64706,0.71754,0.39465,1.28782,1.54146,1.18855,0.000731813,0.000731813,0.000731813
19,3087.13,1.42089,1.23048,1.34715,0.70674,0.65145,0.7152,0.40013,1.27742,1.63653,1.17215,0.000676802,0.000676802,0.000676802
20,3251.16,1.40591,1.2144,1.33661,0.70427,0.66797,0.7249,0.40533,1.26636,1.56201,1.16692,0.000621791,0.000621791,0.000621791
21,3417.95,1.45042,1.195,1.37133,0.71872,0.65064,0.72027,0.40167,1.28268,1.50947,1.18892,0.00056678,0.00056678,0.00056678
22,3579.35,1.44603,1.15823,1.37057,0.72616,0.6575,0.7265,0.40792,1.26191,1.36123,1.1742,0.000511769,0.000511769,0.000511769
23,3740.12,1.42149,1.11957,1.3544,0.7333,0.66832,0.735,0.41514,1.26533,1.29506,1.1718,0.000456758,0.000456758,0.000456758
24,3899.5,1.40663,1.08845,1.35169,0.72318,0.68057,0.74498,0.41987,1.25905,1.24468,1.16544,0.000401747,0.000401747,0.000401747
25,4059.38,1.39201,1.07036,1.34145,0.73752,0.68858,0.75101,0.42493,1.25452,1.33111,1.17188,0.000346736,0.000346736,0.000346736
26,4218,1.36955,1.05314,1.32522,0.73638,0.67808,0.74482,0.42507,1.24218,1.22405,1.16408,0.000291725,0.000291725,0.000291725
27,4373.25,1.36042,1.02852,1.32012,0.74344,0.67486,0.74882,0.42514,1.24835,1.18847,1.16229,0.000236714,0.000236714,0.000236714
28,4533.28,1.34426,1.0094,1.29559,0.74155,0.6874,0.75338,0.42904,1.23959,1.15671,1.15946,0.000181703,0.000181703,0.000181703
29,4691.19,1.32862,0.99578,1.29491,0.7475,0.6898,0.75848,0.43114,1.24291,1.13964,1.15927,0.000126692,0.000126692,0.000126692
30,4844.08,1.31351,0.96439,1.28577,0.75387,0.69374,0.76198,0.43339,1.2417,1.06267,1.16227,7.1681e-05,7.1681e-05,7.1681e-05
