epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,278.657,1.61359,2.85793,1.51622,0.4734,0.43421,0.4128,0.18609,1.51031,7.68507,1.34642,0.00998907,0.00332969,0.00998907,0.00332969,0.00998907,0.00332969,0.00998907,0.00332969
2,497.242,1.67889,2.04158,1.51798,0.37022,0.39007,0.31918,0.1384,1.66251,6.98148,1.44062,0.0197417,0.00658057,0.0197417,0.00658057,0.0197417,0.00658057,0.0197417,0.00658057
3,694.678,1.77634,1.97642,1.607,0.46344,0.42315,0.41221,0.17851,1.66101,6.04302,1.50381,0.0292468,0.00974895,0.0292468,0.00974895,0.0292468,0.00974895,0.0292468,0.00974895
4,886.102,1.80054,1.95061,1.63174,0.45882,0.41956,0.40073,0.175,1.62677,5.77874,1.47884,0.0288862,0.00962875,0.0288862,0.00962875,0.0288862,0.00962875,0.0288862,0.00962875
5,1074.47,1.7294,1.82092,1.59265,0.56018,0.48325,0.50632,0.23828,1.51462,2.90657,1.37329,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
6,1264.1,1.67824,1.70789,1.55133,0.58187,0.50306,0.52562,0.25313,1.50402,2.92541,1.3388,0.0281437,0.00938125,0.0281437,0.00938125,0.0281437,0.00938125,0.0281437,0.00938125
7,1451.55,1.65021,1.64846,1.53001,0.60821,0.52789,0.56154,0.27524,1.46477,3.60868,1.33427,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
8,1639.66,1.63168,1.60715,1.51508,0.61216,0.54457,0.58692,0.29907,1.41143,2.31247,1.29033,0.0274012,0.00913375,0.0274012,0.00913375,0.0274012,0.00913375,0.0274012,0.00913375
9,1825.45,1.59476,1.53392,1.47938,0.65305,0.56873,0.61992,0.31325,1.40039,2.37858,1.28419,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
10,2012.14,1.58167,1.50125,1.47187,0.6309,0.57294,0.61596,0.31368,1.40643,2.36233,1.30836,0.0266587,0.00888625,0.0266587,0.00888625,0.0266587,0.00888625,0.0266587,0.00888625
11,2195.56,1.55165,1.46092,1.45478,0.65072,0.57405,0.62882,0.32671,1.38773,2.2042,1.25981,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625
12,2383.68,1.546,1.43926,1.4529,0.63836,0.61402,0.64502,0.34024,1.35703,2.31923,1.26331,0.0259163,0.00863875,0.0259163,0.00863875,0.0259163,0.00863875,0.0259163,0.00863875
13,2574.44,1.53203,1.41453,1.44439,0.68245,0.60731,0.663,0.34634,1.35328,2.07818,1.24791,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
14,2762.24,1.52891,1.39716,1.43396,0.6621,0.61375,0.66609,0.35345,1.34071,1.92278,1.23802,0.0251737,0.00839125,0.0251737,0.00839125,0.0251737,0.00839125,0.0251737,0.00839125
15,2955.4,1.51002,1.3678,1.41792,0.68255,0.61145,0.67288,0.35664,1.32963,1.58192,1.23808,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675
16,3142.86,1.49848,1.35148,1.4113,0.68075,0.62806,0.68284,0.36724,1.32568,1.82207,1.22283,0.0244312,0.00814375,0.0244312,0.00814375,0.0244312,0.00814375,0.0244312,0.00814375
17,3327.96,1.48567,1.32995,1.40685,0.70767,0.61705,0.68883,0.37861,1.30939,1.65497,1.21901,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
18,3520.57,1.4813,1.3193,1.39577,0.69859,0.6261,0.69036,0.38111,1.28582,1.79967,1.2039,0.0236888,0.00789625,0.0236888,0.00789625,0.0236888,0.00789625,0.0236888,0.00789625
19,3710.22,1.47287,1.29582,1.39145,0.71913,0.63778,0.70879,0.38781,1.28178,1.88091,1.19294,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725
20,3896.45,1.46216,1.29436,1.38751,0.71276,0.65204,0.71257,0.38947,1.28298,1.89822,1.19648,0.0229462,0.00764875,0.0229462,0.00764875,0.0229462,0.00764875,0.0229462,0.00764875
21,4079.88,1.45197,1.27454,1.37777,0.70963,0.64298,0.71196,0.39303,1.28064,1.84091,1.20232,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
