epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,326.815,1.62401,2.84289,1.52008,0.48151,0.39221,0.37677,0.17029,1.58927,7.48143,1.44077,0.00998907,0.00332969,0.00998907,0.00332969,0.00998907,0.00332969,0.00998907,0.00332969
2,561.952,1.67677,2.06178,1.52826,0.44347,0.46997,0.40951,0.17764,1.60961,4.35721,1.46537,0.0195933,0.0065311,0.0195933,0.0065311,0.0195933,0.0065311,0.0195933,0.0065311
3,776.034,1.77111,1.97377,1.59968,0.46915,0.40703,0.37886,0.16773,1.66834,7.13002,1.48265,0.0288015,0.0096005,0.0288015,0.0096005,0.0288015,0.0096005,0.0288015,0.0096005
4,992.143,1.79256,1.94479,1.62561,0.51584,0.44857,0.43851,0.20044,1.58107,3.54177,1.43177,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,1211.18,1.72578,1.79713,1.58367,0.52428,0.46127,0.4625,0.21357,1.57007,4.56003,1.38758,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,1406.1,1.67011,1.69214,1.54336,0.57419,0.48503,0.51179,0.24665,1.50934,3.24015,1.36876,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,1609.54,1.64116,1.64258,1.5204,0.59771,0.55472,0.5806,0.28932,1.44409,3.33671,1.33286,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,1808.57,1.62451,1.59208,1.50643,0.60412,0.54765,0.58299,0.30076,1.3933,2.1825,1.28091,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,2007.84,1.58579,1.52264,1.4698,0.64225,0.56102,0.6074,0.31071,1.38661,2.75549,1.27428,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,2209.62,1.57127,1.48986,1.46324,0.64287,0.58035,0.6261,0.32349,1.39324,2.12105,1.28819,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,2407.37,1.54127,1.44779,1.44577,0.65461,0.56691,0.6258,0.32709,1.37114,2.70544,1.25682,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,2611,1.5338,1.43095,1.44038,0.66153,0.61159,0.65211,0.34953,1.34931,1.96235,1.25197,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,2812.63,1.51804,1.40057,1.43246,0.68953,0.61218,0.67,0.35863,1.3537,1.83205,1.25183,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,3019.11,1.50973,1.37524,1.41746,0.67744,0.61736,0.66811,0.35615,1.32873,1.86319,1.22981,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,3216.11,1.49583,1.34387,1.40717,0.68498,0.61651,0.67483,0.3615,1.32973,1.58531,1.22531,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,3415.48,1.48539,1.32915,1.39853,0.69414,0.62195,0.68826,0.37438,1.31351,1.70485,1.20694,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
17,3612.21,1.47474,1.31688,1.39474,0.72286,0.64029,0.71248,0.39085,1.30133,1.73324,1.19928,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
