epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,272.658,1.67805,2.98929,1.51367,0.36802,0.29378,0.25332,0.10849,1.65931,9.49712,1.49134,0.00998907,0.00332969,0.00998907,0.00332969,0.00998907,0.00332969,0.00998907,0.00332969
2,479.845,1.74675,2.16806,1.53002,0.30898,0.31156,0.23694,0.09828,1.81493,3.32883,1.54118,0.0195933,0.0065311,0.0195933,0.0065311,0.0195933,0.0065311,0.0195933,0.0065311
3,674.348,1.84768,2.08485,1.61529,0.42032,0.39635,0.31625,0.1296,1.76114,9.26202,1.59462,0.0288015,0.0096005,0.0288015,0.0096005,0.0288015,0.0096005,0.0288015,0.0096005
4,865.048,1.87015,2.05022,1.63989,0.46546,0.43219,0.40055,0.18188,1.58325,4.62597,1.42426,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,1053.68,1.80563,1.91209,1.59268,0.46087,0.44854,0.41588,0.18408,1.57966,4.6309,1.42372,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,1241.15,1.74771,1.80514,1.55465,0.55631,0.48361,0.49848,0.24012,1.49048,3.82439,1.3359,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,1429.84,1.71687,1.75502,1.52878,0.58745,0.51387,0.54228,0.26382,1.46765,4.23153,1.34589,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,1614.86,1.69254,1.68782,1.5093,0.58779,0.53941,0.55216,0.26983,1.43528,3.23799,1.31695,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,1798.71,1.66013,1.62508,1.48527,0.62449,0.54821,0.59165,0.29459,1.42591,2.93565,1.29886,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,1984.39,1.63552,1.58071,1.46324,0.61017,0.5563,0.59142,0.3004,1.39349,2.54504,1.27466,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,2175.22,1.61791,1.54391,1.45324,0.62854,0.57354,0.6118,0.31113,1.39418,3.42564,1.25877,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,2359.78,1.60616,1.52062,1.44079,0.63728,0.57271,0.60828,0.31257,1.38821,2.71527,1.26194,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,2546.47,1.59475,1.49135,1.43124,0.65097,0.5952,0.64561,0.33596,1.35574,2.6598,1.24264,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,2734.96,1.57879,1.46645,1.41807,0.63793,0.59602,0.64715,0.33421,1.35873,2.59244,1.25113,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,2921,1.56349,1.43941,1.40407,0.64941,0.60191,0.64323,0.33303,1.3446,2.29073,1.23853,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,3109.23,1.55476,1.43537,1.40129,0.67195,0.61984,0.67162,0.35906,1.32108,1.96724,1.21727,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
17,3296.22,1.54384,1.41242,1.40015,0.68161,0.60292,0.66523,0.35649,1.32069,2.14495,1.20748,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
18,3483.34,1.54007,1.39543,1.39196,0.68474,0.62229,0.67731,0.36806,1.30682,1.98921,1.2205,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
19,3666.95,1.53109,1.36114,1.38419,0.6917,0.62846,0.68371,0.37088,1.30401,1.96504,1.19881,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
20,3855.05,1.51569,1.3553,1.37176,0.70374,0.6068,0.68782,0.37046,1.29163,1.85669,1.18438,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
