epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,256.093,1.68725,3.18817,1.5627,0.44905,0.40632,0.36796,0.16558,1.54663,6.94274,1.42868,0.00998907,0.00332969,0.00998907,0.00332969,0.00998907,0.00332969,0.00998907,0.00332969
2,458.368,1.75733,2.19855,1.5966,0.46927,0.38877,0.37165,0.17275,1.63162,3.28893,1.46075,0.0195933,0.0065311,0.0195933,0.0065311,0.0195933,0.0065311,0.0195933,0.0065311
3,649.824,1.87864,2.12879,1.68534,0.41724,0.38614,0.34574,0.14083,1.70261,7.28906,1.5588,0.0288015,0.0096005,0.0288015,0.0096005,0.0288015,0.0096005,0.0288015,0.0096005
4,832.627,1.88499,2.06269,1.70864,0.46947,0.40103,0.37892,0.16269,1.65577,3.87931,1.52873,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,1016.9,1.8087,1.90016,1.64456,0.51438,0.43595,0.42862,0.19933,1.61417,5.79832,1.46194,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,1201.72,1.75791,1.78908,1.60424,0.56233,0.48352,0.50208,0.24366,1.52783,3.76226,1.37231,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,1383.36,1.72012,1.72696,1.58114,0.56267,0.52169,0.535,0.26517,1.45833,4.97277,1.35174,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,1561.97,1.67934,1.66229,1.55119,0.60808,0.52826,0.57545,0.29629,1.42433,2.63999,1.31134,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,1744.66,1.65944,1.61572,1.54034,0.63208,0.5464,0.58582,0.2946,1.43433,2.40115,1.30201,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,1924.84,1.63064,1.55854,1.51462,0.63588,0.56171,0.60133,0.30467,1.38963,2.95593,1.2855,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
