epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,278.868,1.61359,2.85793,1.51622,0.4734,0.43421,0.4128,0.18609,1.51031,7.68507,1.34642,0.00998907,0.00332969,0.00998907,0.00332969,0.00998907,0.00332969,0.00998907,0.00332969
2,483.495,1.67858,2.05038,1.52646,0.47248,0.39059,0.35867,0.15085,1.66585,4.70214,1.53913,0.0195933,0.0065311,0.0195933,0.0065311,0.0195933,0.0065311,0.0195933,0.0065311
3,669.696,1.76014,1.95895,1.59487,0.3415,0.35259,0.25481,0.10045,1.94275,13.4969,1.90851,0.0288015,0.0096005,0.0288015,0.0096005,0.0288015,0.0096005,0.0288015,0.0096005
4,850.22,1.79297,1.95039,1.63328,0.52726,0.4559,0.44504,0.2001,1.57826,3.51115,1.45401,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,1034.1,1.72216,1.81352,1.58636,0.54344,0.49903,0.49875,0.23134,1.52939,3.98661,1.38938,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,1216.11,1.67207,1.6923,1.54799,0.58634,0.51325,0.5264,0.24861,1.48662,3.22772,1.33604,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,1397.71,1.64271,1.64302,1.52164,0.63256,0.5465,0.58393,0.2953,1.42361,2.59079,1.31496,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,1578.34,1.61979,1.58897,1.50487,0.63623,0.55117,0.60417,0.3109,1.37731,2.42784,1.28512,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,1757.67,1.5848,1.52124,1.4772,0.65224,0.56713,0.61512,0.32044,1.3785,1.90105,1.26636,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,1934.53,1.57099,1.48802,1.46384,0.65294,0.57041,0.62,0.31795,1.40213,1.85984,1.28045,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,2117,1.53808,1.44725,1.44218,0.65158,0.58246,0.63467,0.33351,1.37855,2.41812,1.26129,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,2297.08,1.53187,1.42154,1.4372,0.6734,0.616,0.65999,0.34912,1.34843,2.26964,1.24849,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,2474.6,1.52094,1.39414,1.43344,0.68698,0.60915,0.6703,0.3562,1.33187,2.41093,1.23546,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,2652.81,1.51377,1.37545,1.41878,0.67877,0.62241,0.67149,0.35957,1.33485,1.81466,1.23635,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,2839.52,1.49371,1.34923,1.4054,0.69767,0.60735,0.66986,0.36382,1.30936,1.86779,1.22146,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,3018.23,1.48296,1.33035,1.39909,0.71782,0.62172,0.69349,0.37875,1.30149,1.63509,1.20579,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
17,3197.7,1.46771,1.31166,1.39396,0.73381,0.63245,0.70608,0.38617,1.2955,1.82304,1.20089,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
18,3376.45,1.46019,1.29567,1.38195,0.71358,0.64101,0.70412,0.38968,1.27179,1.79302,1.1881,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
19,3551.56,1.45091,1.26753,1.37474,0.70538,0.63856,0.70374,0.38846,1.28491,1.74902,1.19144,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
20,3731.23,1.44431,1.26153,1.37211,0.72934,0.64777,0.72331,0.39794,1.28141,1.80179,1.1914,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
21,3907.91,1.43427,1.24295,1.3632,0.72078,0.65265,0.72244,0.39822,1.28428,1.65329,1.1895,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
22,4091.02,1.42129,1.22522,1.35713,0.72207,0.65913,0.72542,0.40397,1.25846,1.65536,1.17437,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
23,4268.83,1.41673,1.21267,1.34932,0.73559,0.66296,0.73597,0.41035,1.25738,1.57772,1.17439,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
24,4448.55,1.40985,1.20941,1.34925,0.73611,0.66086,0.73092,0.4081,1.26629,1.52552,1.1821,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
25,4631.62,1.39501,1.18502,1.33858,0.71343,0.68758,0.73583,0.41293,1.24559,1.38266,1.16874,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
26,4810.96,1.38635,1.17497,1.32835,0.73944,0.66833,0.74367,0.41985,1.24847,1.41001,1.16827,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
27,4991.24,1.38702,1.16494,1.33174,0.72669,0.6877,0.75022,0.42245,1.25501,1.40386,1.17119,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
28,5174.13,1.37147,1.14091,1.32155,0.74947,0.67559,0.75074,0.42608,1.24641,1.3831,1.16667,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
29,5357.01,1.36897,1.12885,1.3151,0.74511,0.68327,0.75333,0.4268,1.23574,1.26026,1.1554,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
30,5536.93,1.35272,1.10665,1.30824,0.75912,0.67476,0.75403,0.42822,1.23835,1.19811,1.15871,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
31,5720.06,1.35117,1.113,1.3061,0.74494,0.68533,0.75811,0.43106,1.22333,1.264,1.14407,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
32,5903.39,1.34697,1.08658,1.30079,0.75785,0.68853,0.75749,0.43157,1.2295,1.22298,1.15107,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,6081.64,1.33529,1.07306,1.298,0.75433,0.69517,0.76295,0.43588,1.22645,1.18222,1.1482,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,6261.82,1.33033,1.07455,1.29762,0.7742,0.67349,0.76328,0.43606,1.21621,1.13259,1.14766,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,6440.69,1.3244,1.06082,1.29009,0.76351,0.68517,0.76627,0.4386,1.22079,1.16411,1.14736,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,6616.96,1.31772,1.05437,1.28372,0.75331,0.70527,0.76981,0.43931,1.2184,1.14607,1.14477,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
