epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,282.267,1.61359,2.85793,1.51622,0.4734,0.43421,0.4128,0.18609,1.51031,7.68507,1.34642,0.00998907,0.00332969,0.00998907,0.00332969,0.00998907,0.00332969,0.00998907,0.00332969
2,507.087,1.67441,2.04488,1.51938,0.45039,0.41087,0.35705,0.1383,1.75893,5.81908,1.58832,0.0196093,0.00653643,0.0196093,0.00653643,0.0196093,0.00653643,0.0196093,0.00653643
3,695.944,1.77323,1.96534,1.59697,0.3816,0.33399,0.29845,0.12173,1.80137,5.1251,1.60145,0.0288495,0.0096165,0.0288495,0.0096165,0.0288495,0.0096165,0.0288495,0.0096165
4,884.936,1.78933,1.93527,1.62323,0.49793,0.46465,0.4489,0.20473,1.54553,3.7743,1.38486,0.02829,0.00943,0.02829,0.00943,0.02829,0.00943,0.02829,0.00943
5,1073.92,1.72284,1.80379,1.58307,0.53476,0.47092,0.48058,0.22181,1.57731,3.26462,1.40576,0.02772,0.00924,0.02772,0.00924,0.02772,0.00924,0.02772,0.00924
6,1261.91,1.67173,1.69639,1.54919,0.5724,0.52928,0.54209,0.26077,1.48337,3.76993,1.33165,0.02715,0.00905,0.02715,0.00905,0.02715,0.00905,0.02715,0.00905
7,1447.61,1.64612,1.63842,1.52357,0.61909,0.52704,0.57963,0.2929,1.42083,4.34721,1.31421,0.02658,0.00886,0.02658,0.00886,0.02658,0.00886,0.02658,0.00886
8,1630.01,1.62095,1.58504,1.49919,0.64811,0.53991,0.59737,0.30285,1.40538,2.24379,1.26738,0.02601,0.00867,0.02601,0.00867,0.02601,0.00867,0.02601,0.00867
9,1814.73,1.58776,1.51602,1.47127,0.63565,0.55526,0.60035,0.3047,1.38739,2.97627,1.2999,0.02544,0.00848,0.02544,0.00848,0.02544,0.00848,0.02544,0.00848
10,1996.99,1.57241,1.4872,1.459,0.65608,0.56789,0.63222,0.32707,1.38768,1.73458,1.26717,0.02487,0.00829,0.02487,0.00829,0.02487,0.00829,0.02487,0.00829
11,2182.07,1.54582,1.44811,1.44319,0.6544,0.60137,0.64504,0.33938,1.37659,2.5547,1.25666,0.0243,0.0081,0.0243,0.0081,0.0243,0.0081,0.0243,0.0081
12,2364.97,1.53672,1.42441,1.43981,0.67547,0.60982,0.66286,0.34743,1.34845,2.03579,1.23692,0.02373,0.00791,0.02373,0.00791,0.02373,0.00791,0.02373,0.00791
13,2550.21,1.52001,1.3927,1.42986,0.68745,0.61905,0.67123,0.35346,1.33327,1.88415,1.23169,0.02316,0.00772,0.02316,0.00772,0.02316,0.00772,0.02316,0.00772
14,2738.04,1.51489,1.37398,1.41999,0.68446,0.63697,0.67744,0.36512,1.31644,2.11432,1.22807,0.02259,0.00753,0.02259,0.00753,0.02259,0.00753,0.02259,0.00753
15,2925.62,1.49415,1.34029,1.4009,0.69901,0.60733,0.67245,0.35486,1.32789,1.68992,1.22101,0.02202,0.00734,0.02202,0.00734,0.02202,0.00734,0.02202,0.00734
16,3107.75,1.48459,1.3268,1.39796,0.69328,0.62888,0.68559,0.3708,1.3018,1.63525,1.20859,0.02145,0.00715,0.02145,0.00715,0.02145,0.00715,0.02145,0.00715
17,3287.86,1.47042,1.3111,1.3946,0.7184,0.64059,0.70262,0.38299,1.30077,1.57769,1.19957,0.02088,0.00696,0.02088,0.00696,0.02088,0.00696,0.02088,0.00696
18,3471.78,1.46333,1.30224,1.37855,0.72633,0.63483,0.70813,0.39122,1.28657,1.76625,1.19913,0.02031,0.00677,0.02031,0.00677,0.02031,0.00677,0.02031,0.00677
19,3647.94,1.45586,1.27016,1.37937,0.72492,0.63792,0.71433,0.38999,1.29453,1.88368,1.19942,0.01974,0.00658,0.01974,0.00658,0.01974,0.00658,0.01974,0.00658
20,3831.77,1.4501,1.26942,1.37733,0.73112,0.64265,0.72075,0.39525,1.28932,1.54154,1.19102,0.01917,0.00639,0.01917,0.00639,0.01917,0.00639,0.01917,0.00639
21,4016.75,1.43545,1.24437,1.36372,0.70229,0.65161,0.71804,0.39684,1.27849,1.51149,1.18501,0.0186,0.0062,0.0186,0.0062,0.0186,0.0062,0.0186,0.0062
22,4203.63,1.42241,1.22552,1.35655,0.7267,0.64887,0.717,0.40006,1.25752,1.65176,1.17495,0.01803,0.00601,0.01803,0.00601,0.01803,0.00601,0.01803,0.00601
23,4389.73,1.41647,1.21859,1.34745,0.72906,0.66737,0.73447,0.40762,1.26631,1.76111,1.17264,0.01746,0.00582,0.01746,0.00582,0.01746,0.00582,0.01746,0.00582
24,4571.45,1.41532,1.20535,1.34991,0.7505,0.65833,0.74058,0.40961,1.27029,1.54362,1.17759,0.01689,0.00563,0.01689,0.00563,0.01689,0.00563,0.01689,0.00563
25,4757.22,1.40125,1.1867,1.33853,0.73781,0.67389,0.73943,0.41344,1.25238,1.49291,1.16711,0.01632,0.00544,0.01632,0.00544,0.01632,0.00544,0.01632,0.00544
26,4942.38,1.3958,1.17617,1.32678,0.73171,0.66772,0.74111,0.41716,1.25519,1.41869,1.16805,0.01575,0.00525,0.01575,0.00525,0.01575,0.00525,0.01575,0.00525
27,5127.06,1.39064,1.16716,1.3304,0.74839,0.67837,0.74489,0.4192,1.26012,1.37888,1.16852,0.01518,0.00506,0.01518,0.00506,0.01518,0.00506,0.01518,0.00506
