epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,279.744,1.61359,2.85793,1.51622,0.4734,0.43421,0.4128,0.18609,1.51031,7.68507,1.34642,0.00998907,0.00332969,0.00998907,0.00332969,0.00998907,0.00332969,0.00998907,0.00332969
2,483.093,1.67985,2.05499,1.51945,0.44137,0.41989,0.38215,0.16339,1.61619,4.56291,1.42884,0.0199695,0.00665652,0.0199695,0.00665652,0.0199695,0.00665652,0.0199695,0.00665652
3,670.64,1.77687,1.98692,1.60972,0.47278,0.42064,0.39483,0.17424,1.63436,6.01509,1.48875,0.029872,0.00995734,0.029872,0.00995734,0.029872,0.00995734,0.029872,0.00995734
4,852.601,1.80018,1.95483,1.63294,0.50545,0.45731,0.43852,0.19753,1.60369,3.4163,1.49677,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232
5,1033.16,1.73893,1.82865,1.59308,0.51856,0.45792,0.45343,0.20797,1.59836,3.81701,1.42182,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449
6,1211.66,1.68547,1.70516,1.55024,0.58868,0.50992,0.54132,0.26531,1.4706,3.02636,1.34068,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773
7,1391.97,1.6506,1.6471,1.52805,0.57985,0.52132,0.54261,0.26669,1.49258,3.90651,1.37021,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239
8,1569.82,1.62958,1.60541,1.50358,0.61179,0.55944,0.59859,0.30042,1.41564,2.37097,1.28015,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889
9,1748.43,1.59129,1.54257,1.47263,0.64224,0.57694,0.61725,0.31911,1.37029,2.52951,1.26735,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772
10,1928.3,1.57639,1.50095,1.4677,0.61612,0.55042,0.58791,0.30033,1.41912,2.13322,1.30028,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942
11,2109.42,1.55163,1.464,1.44703,0.64063,0.5732,0.62231,0.32674,1.38807,2.567,1.25199,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463
12,2290.94,1.54818,1.43991,1.44493,0.66778,0.58421,0.63942,0.33888,1.36276,2.00717,1.25503,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404
