epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,244.596,1.62092,1.97348,1.47029,0.54201,0.5203,0.52172,0.25626,1.43778,3.27399,1.23677,0.00998907,0.00332969,0.00998907,0.00332969,0.00998907,0.00332969,0.00998907,0.00332969
2,446.519,1.62485,1.61898,1.42024,0.5003,0.46892,0.45526,0.20953,1.54388,3.81264,1.29477,0.0195933,0.0065311,0.0195933,0.0065311,0.0195933,0.0065311,0.0195933,0.0065311
3,632.717,1.73818,1.77458,1.50665,0.52491,0.39489,0.39992,0.17906,1.67671,3.92633,1.43065,0.0288015,0.0096005,0.0288015,0.0096005,0.0288015,0.0096005,0.0288015,0.0096005
4,814.996,1.77774,1.82202,1.53679,0.52852,0.41636,0.41688,0.18916,1.63471,5.55768,1.41485,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,997.94,1.70845,1.69968,1.49306,0.60119,0.494,0.52757,0.25104,1.52765,2.5961,1.29703,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,1182.75,1.6562,1.58465,1.45747,0.57082,0.49321,0.51129,0.24721,1.50271,2.53273,1.25066,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,1363.6,1.62704,1.54007,1.43939,0.64559,0.54394,0.59542,0.29977,1.41665,2.8229,1.2183,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,1546.68,1.59801,1.48098,1.42174,0.61896,0.56397,0.59064,0.30202,1.39892,2.01921,1.20187,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,1730.71,1.56043,1.41191,1.3907,0.64196,0.58017,0.62474,0.32281,1.36801,2.50386,1.1872,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,1917.39,1.54145,1.38056,1.38151,0.67955,0.58953,0.64842,0.34217,1.36833,2.04659,1.18636,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,2102.69,1.51876,1.34553,1.36562,0.67605,0.60348,0.6526,0.34421,1.35653,1.96475,1.16198,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,2284.53,1.50035,1.31278,1.35347,0.67318,0.63099,0.67325,0.35858,1.32464,1.99206,1.15328,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,2468.76,1.48743,1.28718,1.34522,0.71169,0.62067,0.6869,0.36931,1.31044,1.42894,1.14288,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,2650.92,1.47529,1.26581,1.33649,0.70735,0.61491,0.68588,0.3699,1.29985,1.56992,1.1315,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,2836.03,1.45768,1.23678,1.32579,0.69786,0.63408,0.69251,0.37098,1.30494,1.56842,1.13827,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,3020.94,1.44548,1.22298,1.32051,0.70932,0.64577,0.70395,0.38481,1.29087,1.7025,1.12411,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
17,3206.89,1.42913,1.19504,1.31078,0.72125,0.64374,0.71781,0.39309,1.285,1.38931,1.12477,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
18,3390.76,1.4227,1.18097,1.30023,0.72433,0.64551,0.71597,0.39982,1.25154,1.44798,1.11084,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
19,3573.94,1.41146,1.1534,1.29464,0.72816,0.65289,0.72271,0.40396,1.24751,1.33568,1.10037,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
20,3759.36,1.40045,1.14079,1.28314,0.73166,0.67385,0.73754,0.41023,1.25304,1.47496,1.10355,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
21,3945.2,1.38059,1.11895,1.27331,0.74686,0.66224,0.73313,0.41285,1.24745,1.24254,1.10189,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
22,4130.68,1.3702,1.11145,1.27049,0.74711,0.66275,0.73639,0.41552,1.24323,1.24369,1.09267,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
23,4313.82,1.36303,1.08441,1.26305,0.75436,0.67257,0.74607,0.41737,1.2538,1.27531,1.09907,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
24,4497.96,1.35219,1.07603,1.2568,0.72436,0.69118,0.74374,0.41586,1.25658,1.34151,1.09861,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
25,4680.84,1.33904,1.05672,1.24864,0.74033,0.67294,0.74404,0.42234,1.21927,1.209,1.08089,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
