epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,254.095,1.71714,2.12098,1.59574,0.38845,0.32991,0.30301,0.12435,1.81213,6.91873,1.6792,0.000555059,0.000555059,0.000555059
2,494.219,1.75844,1.88875,1.60663,0.4842,0.45631,0.44149,0.20003,1.5695,3.08064,1.41452,0.00107407,0.00107407,0.00107407
3,734.406,1.7303,1.81543,1.58608,0.51594,0.44966,0.45533,0.20029,1.60048,4.75957,1.4449,0.00155641,0.00155641,0.00155641
4,969.29,1.69175,1.74408,1.5555,0.55308,0.43362,0.43836,0.20869,1.60786,2.79319,1.52441,0.00150197,0.00150197,0.00150197
5,1204.64,1.63596,1.6591,1.52491,0.58068,0.50601,0.53528,0.25622,1.49152,4.46411,1.33684,0.00144696,0.00144696,0.00144696
6,1439.02,1.60228,1.56883,1.49522,0.60049,0.54305,0.56691,0.28024,1.43811,3.00995,1.33054,0.00139195,0.00139195,0.00139195
7,1671.27,1.575,1.53526,1.47194,0.63903,0.5658,0.61274,0.31633,1.38203,2.96719,1.2856,0.00133693,0.00133693,0.00133693
8,1906.41,1.55893,1.48871,1.46212,0.64335,0.57375,0.62454,0.3257,1.36209,1.99865,1.26127,0.00128192,0.00128192,0.00128192
9,2139.82,1.52745,1.4341,1.43848,0.67018,0.59332,0.64954,0.34085,1.3443,2.36638,1.25038,0.00122691,0.00122691,0.00122691
10,2372.37,1.50972,1.40504,1.42667,0.67676,0.6025,0.65652,0.34734,1.35099,2.08368,1.24907,0.0011719,0.0011719,0.0011719
11,2604.67,1.4859,1.37212,1.40608,0.68439,0.61527,0.677,0.35817,1.32761,2.59156,1.22118,0.00111689,0.00111689,0.00111689
12,2838.46,1.47891,1.34147,1.40337,0.69889,0.61071,0.68537,0.36953,1.31836,2.54522,1.21927,0.00106188,0.00106188,0.00106188
13,3070.85,1.4667,1.31365,1.39966,0.69321,0.62327,0.68599,0.37157,1.29087,1.96891,1.20695,0.00100687,0.00100687,0.00100687
14,3302.63,1.45736,1.28998,1.38773,0.70198,0.63171,0.69784,0.37865,1.28549,1.6945,1.19417,0.000951857,0.000951857,0.000951857
15,3534.76,1.4396,1.2551,1.37528,0.7068,0.64665,0.70225,0.37797,1.30095,1.83997,1.21472,0.000896846,0.000896846,0.000896846
16,3768.22,1.42893,1.23671,1.37074,0.70417,0.64977,0.71356,0.38979,1.29259,1.74084,1.19774,0.000841835,0.000841835,0.000841835
17,4001.39,1.40527,1.21412,1.35793,0.73247,0.6502,0.72533,0.40071,1.27236,1.70525,1.18266,0.000786824,0.000786824,0.000786824
18,4235.6,1.39438,1.18567,1.33935,0.73204,0.6592,0.73102,0.41054,1.25473,1.49694,1.17536,0.000731813,0.000731813,0.000731813
19,4467.44,1.38407,1.15889,1.33504,0.75006,0.65656,0.73528,0.41572,1.24428,1.50594,1.16799,0.000676802,0.000676802,0.000676802
20,4699.74,1.37305,1.14575,1.33119,0.75713,0.66763,0.74659,0.41938,1.24064,1.41331,1.16428,0.000621791,0.000621791,0.000621791
21,4935.23,1.41942,1.11399,1.36669,0.73065,0.68195,0.74352,0.41376,1.2525,1.46123,1.18243,0.00056678,0.00056678,0.00056678
22,5165.62,1.40494,1.09305,1.35717,0.742,0.67853,0.74276,0.41926,1.24139,1.40767,1.17051,0.000511769,0.000511769,0.000511769
23,5396.64,1.38045,1.04327,1.33885,0.74854,0.67891,0.74747,0.42442,1.23058,1.30507,1.15592,0.000456758,0.000456758,0.000456758
24,5626.71,1.36755,1.02052,1.33284,0.75338,0.67913,0.75438,0.42976,1.23463,1.25602,1.17124,0.000401747,0.000401747,0.000401747
25,5859.95,1.34632,0.99169,1.32584,0.75125,0.69063,0.76199,0.43407,1.22637,1.21487,1.16346,0.000346736,0.000346736,0.000346736
26,6090.62,1.32176,0.97358,1.30639,0.75122,0.68586,0.75821,0.43491,1.22094,1.17644,1.15661,0.000291725,0.000291725,0.000291725
27,6323.05,1.31199,0.94039,1.3025,0.75589,0.687,0.7622,0.43724,1.22513,1.10322,1.158,0.000236714,0.000236714,0.000236714
28,6555.87,1.2966,0.92178,1.27852,0.73529,0.70073,0.75935,0.43789,1.22787,1.13033,1.15965,0.000181703,0.000181703,0.000181703
29,6789.57,1.27061,0.8981,1.27169,0.75289,0.69945,0.76746,0.44417,1.22055,1.11739,1.1514,0.000126692,0.000126692,0.000126692
30,7022.33,1.25239,0.86403,1.25906,0.76082,0.69573,0.76985,0.44407,1.22127,1.0735,1.15784,7.1681e-05,7.1681e-05,7.1681e-05
