epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,319.374,1.62751,2.06351,1.51866,0.60149,0.51921,0.54872,0.26764,1.44606,1.99008,1.27934,0.00998907,0.00332969,0.00998907,0.00332969,0.00998907,0.00332969,0.00998907,0.00332969
2,603.878,1.62051,1.64311,1.48225,0.51989,0.47152,0.43789,0.18603,1.62161,5.13757,1.42404,0.0197417,0.00658057,0.0197417,0.00658057,0.0197417,0.00658057,0.0197417,0.00658057
3,874.021,1.73631,1.8102,1.57065,0.44944,0.42939,0.38463,0.16352,1.68315,7.0526,1.48108,0.0292468,0.00974895,0.0292468,0.00974895,0.0292468,0.00974895,0.0292468,0.00974895
4,1138.35,1.77842,1.89038,1.61504,0.53962,0.4816,0.48996,0.22777,1.5186,4.08871,1.3988,0.0288862,0.00962875,0.0288862,0.00962875,0.0288862,0.00962875,0.0288862,0.00962875
5,1402.28,1.70714,1.73922,1.57288,0.55004,0.51397,0.52359,0.24789,1.52243,4.31683,1.3782,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
6,1666.25,1.65373,1.62422,1.53201,0.61478,0.54222,0.56897,0.28045,1.44291,3.01739,1.31944,0.0281437,0.00938125,0.0281437,0.00938125,0.0281437,0.00938125,0.0281437,0.00938125
7,1929.79,1.6194,1.57037,1.50595,0.61891,0.56706,0.59502,0.29519,1.43733,2.53248,1.33073,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
8,2191.96,1.59973,1.51902,1.49034,0.65849,0.57251,0.62144,0.31982,1.3841,1.86638,1.27631,0.0274012,0.00913375,0.0274012,0.00913375,0.0274012,0.00913375,0.0274012,0.00913375
9,2459.69,1.56323,1.44858,1.45692,0.64723,0.57676,0.63016,0.32197,1.38222,3.33069,1.28994,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
10,2722.56,1.54289,1.4091,1.44922,0.67934,0.58076,0.6491,0.34083,1.36259,1.91607,1.26488,0.0266587,0.00888625,0.0266587,0.00888625,0.0266587,0.00888625,0.0266587,0.00888625
