epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,322.47,1.61519,2.05813,1.51588,0.56752,0.43686,0.46436,0.22241,1.55766,2.20424,1.38105,0.00998907,0.00332969,0.00998907,0.00332969,0.00998907,0.00332969,0.00998907,0.00332969
2,607.442,1.61751,1.63489,1.48293,0.55319,0.47073,0.48562,0.21824,1.59142,3.35809,1.40786,0.0195933,0.0065311,0.0195933,0.0065311,0.0195933,0.0065311,0.0195933,0.0065311
3,875.539,1.73274,1.78822,1.57094,0.44949,0.41749,0.37444,0.15623,1.7095,9.60289,1.58715,0.0288015,0.0096005,0.0288015,0.0096005,0.0288015,0.0096005,0.0288015,0.0096005
4,1136.84,1.76871,1.85318,1.60427,0.51433,0.46983,0.4727,0.21932,1.52758,5.29015,1.39774,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,1396.45,1.70455,1.72819,1.56236,0.55201,0.48283,0.49339,0.23402,1.5425,2.60343,1.37466,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,1655.63,1.64754,1.60204,1.52064,0.6176,0.5423,0.57347,0.2828,1.44759,2.86941,1.31184,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,1917.76,1.60993,1.55235,1.49621,0.62337,0.55609,0.58907,0.2991,1.41937,2.42991,1.3106,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,2176.52,1.59131,1.50662,1.48738,0.63506,0.57842,0.62312,0.32379,1.36644,2.95945,1.26447,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,2441.95,1.552,1.43288,1.44632,0.65742,0.58757,0.6348,0.33142,1.36192,2.01421,1.25765,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,2697.91,1.5318,1.39547,1.43785,0.678,0.58611,0.65389,0.34195,1.37049,1.81203,1.27052,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,2962.11,1.50445,1.35482,1.41909,0.67568,0.6062,0.65919,0.34581,1.35384,2.21679,1.2373,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,3222.32,1.50048,1.33194,1.41125,0.70054,0.61096,0.68145,0.3728,1.31935,1.82647,1.22619,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,3477.66,1.48019,1.30201,1.3996,0.71129,0.61646,0.68069,0.36926,1.30809,1.74503,1.22198,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,3740.19,1.46897,1.28085,1.39142,0.69532,0.63974,0.69664,0.37722,1.29872,1.61675,1.20577,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,4004.71,1.45156,1.24629,1.37556,0.71196,0.62777,0.69842,0.37894,1.30016,1.54535,1.21173,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,4262.79,1.44022,1.22486,1.3711,0.7161,0.65243,0.71937,0.39406,1.28873,1.52828,1.19839,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
17,4526.89,1.42091,1.20117,1.36205,0.7275,0.6608,0.72901,0.40205,1.27298,1.31671,1.18576,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
18,4787.18,1.41323,1.18752,1.35063,0.72709,0.6613,0.73045,0.40576,1.28034,1.45721,1.20331,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
19,5043.23,1.40464,1.15953,1.34415,0.72819,0.66114,0.72935,0.40869,1.26401,1.4272,1.17484,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
