epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,349.79,1.65544,2.12196,1.51543,0.51919,0.44044,0.44089,0.19565,1.6313,3.74967,1.44466,0.00998907,0.00332969,0.00998907,0.00332969,0.00998907,0.00332969,0.00998907,0.00332969
2,631.18,1.66155,1.69144,1.47568,0.4978,0.47024,0.45137,0.20488,1.60018,3.79095,1.39391,0.0195933,0.0065311,0.0195933,0.0065311,0.0195933,0.0065311,0.0195933,0.0065311
3,893.512,1.77103,1.84136,1.5667,0.49957,0.40802,0.39689,0.16952,1.65952,6.26662,1.50352,0.0288015,0.0096005,0.0288015,0.0096005,0.0288015,0.0096005,0.0288015,0.0096005
4,1149.17,1.80798,1.90205,1.61331,0.48858,0.43275,0.4216,0.18863,1.56808,2.89481,1.4482,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,1409.23,1.75204,1.78141,1.57113,0.53646,0.48783,0.48151,0.22074,1.52944,4.0255,1.37949,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,1671.7,1.68893,1.66911,1.53447,0.60325,0.50597,0.54055,0.26519,1.46694,3.53886,1.34289,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,1930.17,1.65058,1.59189,1.49751,0.62373,0.55254,0.58594,0.29287,1.42705,3.54128,1.3016,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,2190.93,1.62692,1.55109,1.4807,0.64444,0.56338,0.61534,0.31343,1.38303,2.44468,1.28602,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,2450.21,1.59565,1.49063,1.45202,0.67945,0.56552,0.63703,0.33258,1.3423,2.2634,1.25655,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,2710.71,1.5708,1.43866,1.43432,0.65028,0.57718,0.63426,0.333,1.35008,2.27103,1.26377,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,2968.53,1.55123,1.39839,1.42425,0.68335,0.59192,0.65444,0.34314,1.3628,2.64524,1.25189,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,3228.28,1.53299,1.37182,1.4158,0.67727,0.61983,0.6796,0.36184,1.32439,1.90856,1.23109,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,3486.12,1.5182,1.34746,1.40724,0.69734,0.61616,0.68933,0.37111,1.31173,2.07609,1.22704,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,3744.06,1.51073,1.32791,1.39023,0.69035,0.63061,0.68671,0.37234,1.31426,1.95384,1.20992,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,4002.9,1.49041,1.28838,1.37522,0.6925,0.64037,0.69037,0.37019,1.30677,1.66084,1.216,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,4265.94,1.48727,1.27387,1.37204,0.73514,0.63634,0.71734,0.39451,1.27462,1.72276,1.1867,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
17,4525.99,1.4698,1.253,1.36133,0.71356,0.64446,0.71043,0.38563,1.29281,1.7487,1.19793,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
18,4785.86,1.45935,1.23395,1.35499,0.7159,0.65164,0.7181,0.39629,1.26843,1.72278,1.19466,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
19,5044.52,1.44805,1.21079,1.3404,0.72087,0.64801,0.71869,0.40348,1.25031,1.57266,1.16375,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
20,5304.88,1.43144,1.20147,1.33633,0.71365,0.67548,0.73499,0.40903,1.26013,1.6531,1.16917,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
21,5565.14,1.42038,1.17298,1.32734,0.71477,0.67081,0.73285,0.40864,1.25515,1.63414,1.17684,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
22,5827.86,1.41119,1.1588,1.31786,0.73418,0.65686,0.73634,0.41166,1.24506,1.55029,1.17215,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
23,6087.56,1.39805,1.13615,1.30902,0.74762,0.67643,0.74986,0.41956,1.2599,1.61893,1.17208,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
24,6348.5,1.39157,1.12974,1.30708,0.72781,0.6967,0.75232,0.42456,1.2431,1.51257,1.15805,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
25,6607.96,1.377,1.11103,1.29569,0.73134,0.69564,0.75305,0.42402,1.23996,1.41233,1.15834,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
26,6865.74,1.36901,1.09441,1.28796,0.74146,0.68248,0.75053,0.42724,1.22764,1.51277,1.15075,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
27,7122.74,1.36586,1.08189,1.28877,0.75696,0.6894,0.76113,0.43483,1.2245,1.34495,1.14834,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
28,7381.85,1.35206,1.05794,1.2753,0.74975,0.69955,0.77015,0.44162,1.2253,1.25901,1.14492,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
29,7640.3,1.34477,1.04185,1.26783,0.7511,0.69168,0.7684,0.43881,1.21952,1.24342,1.13752,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
30,7901.01,1.32879,1.02246,1.26172,0.76535,0.69325,0.76609,0.44188,1.21213,1.20512,1.13794,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
31,8160.12,1.32923,1.02126,1.26401,0.75737,0.69355,0.76677,0.44027,1.22031,1.23236,1.13711,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
32,8421.57,1.31317,1.00222,1.25038,0.74982,0.70626,0.76848,0.4445,1.20632,1.16282,1.12991,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,8680.99,1.30955,0.98512,1.24538,0.77076,0.69943,0.77472,0.44547,1.21342,1.12216,1.13561,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,8940.47,1.29891,0.98108,1.24414,0.76761,0.70175,0.77817,0.44999,1.2082,1.03996,1.13576,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,9201.43,1.29223,0.96153,1.2423,0.76701,0.70689,0.77646,0.44867,1.21309,1.14684,1.13787,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,9459.27,1.28831,0.95427,1.23698,0.76304,0.71955,0.78121,0.4499,1.21115,1.1704,1.13775,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
