epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,329.225,1.70156,2.27165,1.5937,0.57108,0.45546,0.47317,0.22547,1.48658,2.10759,1.33404,0.00998907,0.00332969,0.00998907,0.00332969,0.00998907,0.00332969,0.00998907,0.00332969
2,617.615,1.70514,1.75233,1.55194,0.48862,0.40932,0.37799,0.1682,1.6799,4.44649,1.48508,0.0195933,0.0065311,0.0195933,0.0065311,0.0195933,0.0065311,0.0195933,0.0065311
3,888.556,1.84237,1.95842,1.65506,0.51082,0.4339,0.422,0.18432,1.68016,6.21134,1.48791,0.0288015,0.0096005,0.0288015,0.0096005,0.0288015,0.0096005,0.0288015,0.0096005
4,1155.2,1.86834,1.96815,1.6842,0.52362,0.43156,0.4312,0.18922,1.64796,3.44294,1.50744,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,1422.29,1.7889,1.83369,1.63524,0.55127,0.50975,0.52025,0.25128,1.51076,3.73627,1.38353,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,1691.83,1.73236,1.7146,1.59638,0.57118,0.52033,0.53253,0.25918,1.48644,2.67166,1.35387,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,1959.19,1.69296,1.64415,1.57124,0.60153,0.54116,0.56944,0.28522,1.41742,3.35855,1.31478,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,2226.7,1.64356,1.57348,1.53508,0.63354,0.55661,0.59192,0.30168,1.40378,2.06942,1.31314,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,2490.98,1.62748,1.53277,1.52239,0.65741,0.56327,0.61273,0.30741,1.41235,2.2228,1.29687,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,2756.19,1.59289,1.46831,1.49343,0.66793,0.60515,0.6481,0.33539,1.37879,2.52705,1.28245,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,3021.27,1.57463,1.43151,1.47506,0.62851,0.52177,0.56765,0.2855,1.45158,2.4572,1.32921,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,3286.58,1.5604,1.41244,1.4663,0.66112,0.61028,0.66068,0.34985,1.344,2.07372,1.25407,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,3548.92,1.55141,1.36928,1.46534,0.69807,0.58852,0.65635,0.34947,1.37358,1.66888,1.27506,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,3816.09,1.52386,1.33792,1.44809,0.70093,0.61073,0.68281,0.37184,1.31522,1.6079,1.21719,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,4084.85,1.51233,1.32725,1.43645,0.69997,0.6238,0.68555,0.36886,1.31178,1.84763,1.23643,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,4348.81,1.49712,1.28361,1.41957,0.71665,0.63223,0.70171,0.38071,1.29752,1.88053,1.2103,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
17,4617.68,1.47377,1.26991,1.41039,0.73408,0.64034,0.71583,0.38947,1.29644,1.50784,1.21359,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
18,4885.19,1.46232,1.24614,1.39821,0.71812,0.66609,0.72786,0.40452,1.28294,1.38395,1.19189,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
19,5151.96,1.45623,1.22725,1.39773,0.71646,0.64843,0.71839,0.39883,1.27778,1.25327,1.19924,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
20,5414.74,1.44294,1.19308,1.38524,0.72109,0.66458,0.73157,0.40403,1.26821,1.31366,1.18747,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
21,5679.57,1.43091,1.17974,1.37302,0.71166,0.6679,0.72397,0.40376,1.2643,1.39282,1.18506,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
22,5943.51,1.41733,1.15535,1.36089,0.71981,0.66948,0.73825,0.41235,1.25638,1.37887,1.18307,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
23,6207.27,1.40463,1.13843,1.35444,0.72293,0.68366,0.7428,0.42067,1.24846,1.34674,1.17401,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
24,6472.26,1.3974,1.12622,1.35935,0.74434,0.67726,0.74914,0.42451,1.25052,1.34404,1.18079,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
25,6736.35,1.39871,1.11977,1.35082,0.73381,0.69016,0.753,0.4269,1.23794,1.30598,1.16846,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
26,6999.36,1.36519,1.06936,1.32763,0.74491,0.69253,0.75265,0.428,1.24677,1.20523,1.1792,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
27,7263.82,1.36264,1.06248,1.325,0.75753,0.69256,0.75827,0.43164,1.24029,1.17348,1.17109,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
28,7529.2,1.35349,1.05301,1.31926,0.7543,0.69428,0.75944,0.43305,1.22909,1.10683,1.16542,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
29,7796.61,1.34725,1.03967,1.31066,0.76588,0.69297,0.76583,0.44144,1.23169,1.12792,1.16222,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
30,8064.01,1.32886,1.02379,1.30487,0.75653,0.69918,0.76513,0.43782,1.23287,1.08897,1.16212,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
31,8332.21,1.33219,0.95714,1.30271,0.76097,0.69936,0.76625,0.43865,1.23621,1.07691,1.1664,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
32,8593.94,1.31665,0.92965,1.29081,0.7645,0.69308,0.76383,0.44063,1.22903,1.06685,1.16012,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,8860.5,1.30091,0.91766,1.28679,0.77016,0.69949,0.76717,0.44396,1.23898,0.98985,1.16941,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,9126.92,1.29057,0.89643,1.27433,0.76675,0.70989,0.77431,0.4497,1.21763,1.06451,1.15197,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,9389,1.27429,0.87366,1.26381,0.78076,0.70037,0.77354,0.44688,1.225,1.02917,1.15684,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,9655.33,1.25985,0.85226,1.25708,0.7637,0.70497,0.77653,0.45109,1.21376,1.04016,1.15629,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,9915.55,1.248,0.8321,1.25038,0.78151,0.70292,0.77728,0.45173,1.22116,1.00205,1.15721,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,10175.6,1.23039,0.81532,1.23681,0.7699,0.70388,0.77663,0.45149,1.21449,1.00684,1.15512,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,10441.3,1.22105,0.80305,1.22144,0.75917,0.71564,0.77811,0.45148,1.2156,0.93336,1.1553,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,10702.5,1.20938,0.78478,1.21745,0.7864,0.70133,0.78082,0.45208,1.21354,0.95819,1.15345,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
41,10965.4,1.18717,0.7605,1.20474,0.77261,0.71134,0.77654,0.45164,1.21551,0.93362,1.16009,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
42,11229.9,1.17345,0.73864,1.19225,0.77694,0.71546,0.77982,0.45239,1.22362,0.93005,1.16893,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
43,11491.7,1.15994,0.72761,1.18899,0.7846,0.70718,0.7796,0.45336,1.23055,0.90363,1.172,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
44,11756.7,1.14838,0.71137,1.1765,0.78581,0.70954,0.77754,0.45251,1.23159,0.90393,1.17699,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
45,12018.9,1.13411,0.6979,1.16504,0.78744,0.70586,0.77563,0.45169,1.22842,0.91614,1.17424,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
46,12279.5,1.12442,0.68677,1.16501,0.7806,0.71093,0.77423,0.45069,1.23384,0.92688,1.1788,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
47,12541.3,1.10492,0.66839,1.15257,0.77596,0.71711,0.77297,0.45045,1.22988,0.91773,1.17596,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
48,12803.5,1.0933,0.65449,1.14262,0.78919,0.70736,0.77058,0.4501,1.22788,0.90903,1.17519,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
49,13069,1.08574,0.64332,1.14006,0.77862,0.71216,0.77177,0.44906,1.23226,0.89708,1.17965,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
50,13330.8,1.06644,0.63243,1.12858,0.78181,0.7097,0.77168,0.4478,1.23644,0.89137,1.18428,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
