epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,368.936,1.62751,2.06351,1.51866,0.60149,0.51921,0.54872,0.26764,1.44606,1.99008,1.27934,0.00998907,0.00332969,0.00998907,0.00332969,0.00998907,0.00332969,0.00998907,0.00332969
2,661.78,1.62902,1.65947,1.49092,0.50045,0.45093,0.44294,0.19579,1.65289,8.61664,1.49097,0.0199695,0.00665652,0.0199695,0.00665652,0.0199695,0.00665652,0.0199695,0.00665652
3,932.474,1.74538,1.81729,1.58366,0.47653,0.39762,0.37246,0.16079,1.69299,6.0618,1.543,0.029872,0.00995734,0.029872,0.00995734,0.029872,0.00995734,0.029872,0.00995734
4,1200.92,1.78105,1.86425,1.62679,0.48396,0.44275,0.41878,0.18922,1.62891,4.481,1.49147,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232
5,1462.46,1.70408,1.73822,1.57485,0.59966,0.5139,0.54087,0.25977,1.48658,3.90847,1.36599,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449
6,1727.82,1.65437,1.63321,1.53512,0.58435,0.52932,0.55553,0.26982,1.47972,3.27416,1.33911,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773
7,1994.75,1.62359,1.57398,1.51289,0.62271,0.56098,0.59782,0.30613,1.44508,3.01141,1.33747,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239
8,2261.54,1.59814,1.52468,1.49667,0.6325,0.56223,0.60466,0.30945,1.39657,2.36235,1.29226,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889
9,2523.96,1.56651,1.45801,1.47064,0.63916,0.59857,0.63203,0.32698,1.36799,2.24579,1.27829,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772
10,2788.27,1.54295,1.41397,1.45235,0.65869,0.59068,0.64801,0.34094,1.35904,1.97311,1.26517,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942
