epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,331.091,1.6396,2.12666,1.53928,0.5935,0.50165,0.52228,0.25326,1.53466,2.6708,1.34916,0.00998361,0.00332787,0.00998361,0.00332787,0.00998361,0.00332787,0.00998361,0.00332787
2,598.239,1.59946,1.57133,1.46708,0.4333,0.42488,0.37306,0.16308,1.79565,7.10887,1.58384,0.0195879,0.00652931,0.0195879,0.00652931,0.0195879,0.00652931,0.0195879,0.00652931
3,860.381,1.7345,1.79242,1.56996,0.45138,0.32739,0.30305,0.12487,2.08304,4.50636,1.75928,0.0287963,0.00959875,0.0287963,0.00959875,0.0287963,0.00959875,0.0287963,0.00959875
4,1116.65,1.73722,1.7803,1.57646,0.56519,0.47248,0.49171,0.2319,1.65991,6.32616,1.52827,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,1375.61,1.67504,1.65807,1.54138,0.57079,0.51476,0.51742,0.24943,1.58323,5.73032,1.44859,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,1629.34,1.62012,1.56,1.50293,0.60328,0.54157,0.5703,0.28275,1.55144,2.75787,1.3807,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,1887.88,1.59118,1.5052,1.48658,0.64075,0.5245,0.57161,0.28516,1.5174,2.31355,1.36971,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,2140.48,1.55294,1.43302,1.45688,0.62808,0.58689,0.62475,0.32464,1.48186,2.0614,1.36203,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,2396.9,1.53732,1.38879,1.4354,0.66724,0.58399,0.6385,0.33221,1.46907,2.0797,1.32753,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,2649.95,1.50039,1.35827,1.41746,0.67144,0.61402,0.66991,0.34909,1.45102,1.85043,1.33611,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,2905.26,1.49493,1.32474,1.40843,0.69775,0.59862,0.67381,0.35273,1.43898,2.49999,1.3058,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,3158.3,1.48179,1.2932,1.402,0.66827,0.61878,0.66685,0.35195,1.43296,2.18135,1.30332,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,3413.75,1.45863,1.26574,1.38537,0.69753,0.60767,0.67487,0.36133,1.40735,1.75997,1.29686,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,3671.59,1.44897,1.2405,1.3747,0.71497,0.62072,0.69618,0.38172,1.38661,1.90606,1.29421,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,3927.07,1.42969,1.21358,1.36007,0.7099,0.64058,0.70894,0.38845,1.37282,1.95675,1.26463,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,4181.65,1.41133,1.18387,1.35322,0.71358,0.64649,0.71178,0.38882,1.36333,2.06519,1.25326,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
17,4434.05,1.39986,1.16689,1.34262,0.73805,0.65676,0.72991,0.40528,1.37973,1.75473,1.25948,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
18,4689.92,1.39067,1.15435,1.33593,0.72402,0.65095,0.73069,0.40891,1.36215,1.71645,1.25709,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
19,4941.72,1.37612,1.12668,1.32696,0.7337,0.66505,0.73805,0.41431,1.34803,1.73862,1.24821,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
20,5193.41,1.37752,1.11215,1.31957,0.74376,0.68756,0.75298,0.42134,1.34319,1.60706,1.23512,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
