epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,333.825,1.6396,2.12666,1.53928,0.5935,0.50165,0.52228,0.25326,1.53466,2.6708,1.34916,0.00998361,0.00332787,0.00998361,0.00332787,0.00998361,0.00332787,0.00998361,0.00332787
2,614.818,1.59757,1.56245,1.46572,0.50918,0.45893,0.44628,0.20289,1.69997,4.16651,1.52552,0.0197363,0.00657877,0.0197363,0.00657877,0.0197363,0.00657877,0.0197363,0.00657877
3,880.903,1.74162,1.80085,1.56968,0.5004,0.45572,0.42859,0.18938,1.77947,6.13546,1.55734,0.0292415,0.00974717,0.0292415,0.00974717,0.0292415,0.00974717,0.0292415,0.00974717
4,1137.47,1.74706,1.79131,1.57288,0.54166,0.49498,0.49116,0.22654,1.67998,4.25658,1.50446,0.0288862,0.00962875,0.0288862,0.00962875,0.0288862,0.00962875,0.0288862,0.00962875
5,1397.77,1.68867,1.67637,1.54292,0.58858,0.52909,0.55375,0.26456,1.59134,4.43796,1.4262,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
6,1652.54,1.63277,1.56662,1.50606,0.61601,0.54946,0.58275,0.29269,1.53705,3.52668,1.38137,0.0281437,0.00938125,0.0281437,0.00938125,0.0281437,0.00938125,0.0281437,0.00938125
7,1901.83,1.60258,1.52423,1.48985,0.59932,0.55159,0.57777,0.28953,1.53286,3.35614,1.37663,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
8,2160.04,1.56384,1.45104,1.46235,0.63123,0.56999,0.61479,0.3136,1.50171,2.88705,1.35384,0.0274012,0.00913375,0.0274012,0.00913375,0.0274012,0.00913375,0.0274012,0.00913375
9,2423.55,1.54263,1.40476,1.43541,0.66319,0.60521,0.64661,0.33526,1.45198,2.07808,1.32917,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
10,2677.62,1.50814,1.36361,1.42309,0.6785,0.60087,0.66574,0.34565,1.4413,3.02396,1.32493,0.0266587,0.00888625,0.0266587,0.00888625,0.0266587,0.00888625,0.0266587,0.00888625
11,2938.07,1.49996,1.33324,1.41129,0.65817,0.60183,0.64688,0.34091,1.45674,2.0763,1.31368,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625
12,3197.72,1.49417,1.31494,1.40677,0.66977,0.61432,0.671,0.35856,1.43407,2.02765,1.29541,0.0259163,0.00863875,0.0259163,0.00863875,0.0259163,0.00863875,0.0259163,0.00863875
13,3456.58,1.46915,1.28979,1.38942,0.69381,0.61365,0.68,0.36272,1.43269,1.96551,1.31316,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
14,3719.17,1.46674,1.26156,1.38211,0.70767,0.62453,0.69715,0.3789,1.41234,1.81035,1.28325,0.0251737,0.00839125,0.0251737,0.00839125,0.0251737,0.00839125,0.0251737,0.00839125
15,3978.6,1.4438,1.23402,1.37034,0.72233,0.64426,0.70998,0.38702,1.3887,1.88405,1.26579,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675
16,4236.98,1.42753,1.20575,1.36448,0.71022,0.62259,0.69456,0.37653,1.37758,1.85697,1.26481,0.0244312,0.00814375,0.0244312,0.00814375,0.0244312,0.00814375,0.0244312,0.00814375
17,4498.84,1.42283,1.19501,1.35308,0.74287,0.65247,0.72438,0.40093,1.38951,1.56499,1.25651,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
18,4760.4,1.41164,1.17659,1.34855,0.72135,0.6532,0.72076,0.40183,1.35296,1.98006,1.24383,0.0236888,0.00789625,0.0236888,0.00789625,0.0236888,0.00789625,0.0236888,0.00789625
19,5018.4,1.39573,1.14549,1.33622,0.72059,0.65679,0.72023,0.39889,1.37394,1.68669,1.2476,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725
20,5278.72,1.39928,1.14782,1.32945,0.73362,0.67262,0.73677,0.41212,1.35706,1.75342,1.2374,0.0229462,0.00764875,0.0229462,0.00764875,0.0229462,0.00764875,0.0229462,0.00764875
21,5542.43,1.37959,1.12318,1.32292,0.73685,0.66189,0.73491,0.41012,1.36101,1.60521,1.24508,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
