epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,311.239,1.6396,2.12666,1.53928,0.5935,0.50165,0.52228,0.25326,1.53466,2.6708,1.34916,0.00998361,0.00332787,0.00998361,0.00332787,0.00998361,0.00332787,0.00998361,0.00332787
2,577.869,1.6008,1.56668,1.46844,0.52331,0.42634,0.42477,0.18897,1.71927,2.70289,1.48956,0.0197858,0.00659526,0.0197858,0.00659526,0.0197858,0.00659526,0.0197858,0.00659526
3,839.428,1.73424,1.79495,1.56352,0.52547,0.44084,0.444,0.19085,1.78114,5.26223,1.56217,0.0293899,0.00979664,0.0293899,0.00979664,0.0293899,0.00979664,0.0293899,0.00979664
4,1095.28,1.74736,1.77493,1.5749,0.5358,0.47091,0.47485,0.22327,1.67327,3.82394,1.50408,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,1348.56,1.68036,1.67588,1.55238,0.5848,0.52966,0.54559,0.26602,1.55986,3.87497,1.40447,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,1601.96,1.62435,1.57695,1.50574,0.59817,0.50454,0.53689,0.25769,1.5906,2.73299,1.42105,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,1853.76,1.59672,1.52018,1.49075,0.65139,0.56646,0.61505,0.31229,1.49802,2.87347,1.36348,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,2106.39,1.56082,1.44522,1.45856,0.65508,0.58549,0.6323,0.32699,1.49549,2.42175,1.35488,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,2358.4,1.54221,1.40896,1.43602,0.65599,0.58942,0.6243,0.32241,1.46604,2.30103,1.33362,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,2609.96,1.50958,1.36868,1.42289,0.66944,0.60002,0.65393,0.34761,1.44092,1.99159,1.33084,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,2862.71,1.50569,1.33385,1.41922,0.67417,0.60404,0.66421,0.3465,1.45704,2.37048,1.31545,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,3116.18,1.49617,1.31702,1.41029,0.6734,0.60492,0.66389,0.35551,1.44334,1.77425,1.31739,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,3368.81,1.47252,1.28925,1.39622,0.6879,0.63145,0.68438,0.36474,1.41384,2.2052,1.30597,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,3619.89,1.46639,1.2651,1.38439,0.6967,0.64337,0.70508,0.37963,1.41263,1.62902,1.28818,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,3871.01,1.44884,1.23253,1.37121,0.69849,0.63807,0.70384,0.38325,1.38484,1.95815,1.26331,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,4122.75,1.43337,1.20668,1.36869,0.69821,0.64462,0.69438,0.37348,1.379,2.15269,1.26428,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,4375.74,1.42741,1.20203,1.35749,0.72721,0.64337,0.719,0.39256,1.38942,1.6607,1.26649,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,4631.45,1.41459,1.18524,1.34683,0.72453,0.64987,0.71517,0.39551,1.37357,1.98573,1.25859,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,4884.91,1.40108,1.15503,1.34515,0.72482,0.66117,0.72737,0.40265,1.36852,1.92707,1.25397,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,5136.83,1.40118,1.14391,1.33502,0.74421,0.66596,0.74133,0.41098,1.36989,1.5493,1.24792,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,5393.68,1.38506,1.12829,1.32874,0.71917,0.6736,0.72866,0.40486,1.3631,2.07519,1.25333,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,5645.85,1.38791,1.1254,1.32304,0.73408,0.67415,0.73734,0.41384,1.35218,1.66348,1.23737,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,5900.57,1.36688,1.106,1.31933,0.74989,0.67946,0.74993,0.42312,1.34348,1.69808,1.23715,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
